CUSTOMER ID ,LOOKALIKE
C0001,"{'CustomerID': 'C0197', 'Score': 0.8533676693168114}, {'CustomerID': 'C0026', 'Score': 0.7629215761429944}, {'CustomerID': 'C0045', 'Score': 0.749055093958431}"
C0002,"{'CustomerID': 'C0133', 'Score': 0.9228074026823374}, {'CustomerID': 'C0173', 'Score': 0.7705436007592182}, {'CustomerID': 'C0164', 'Score': 0.7279279888313928}"
C0003,"{'CustomerID': 'C0164', 'Score': 0.7879088952802334}, {'CustomerID': 'C0181', 'Score': 0.723995438157076}, {'CustomerID': 'C0085', 'Score': 0.6943927791458719}"
C0004,"{'CustomerID': 'C0075', 'Score': 0.7745300090409932}, {'CustomerID': 'C0008', 'Score': 0.7697901622382635}, {'CustomerID': 'C0118', 'Score': 0.7665986080259906}"
C0005,"[{'CustomerID': 'C0096', 'Score': 0.7998162026806853}, {'CustomerID': 'C0128', 'Score': 0.7130853581334695}, {'CustomerID': 'C0014', 'Score': 0.7008596102211118}"
C0006,"{'CustomerID': 'C0187', 'Score': 0.7886863317312153}, {'CustomerID': 'C0139', 'Score': 0.6959769762739696}, {'CustomerID': 'C0191', 'Score': 0.6504907330370866}"
C0007,"{'CustomerID': 'C0181', 'Score': 0.7805529083402768}, {'CustomerID': 'C0031', 'Score': 0.7135839382346867}, {'CustomerID': 'C0118', 'Score': 0.6810431268758266}"
C0008,"{'CustomerID': 'C0057', 'Score': 0.8372481248967069}, {'CustomerID': 'C0143', 'Score': 0.8010431686684983}, {'CustomerID': 'C0004', 'Score': 0.7697901622382635}"
C0009,"{'CustomerID': 'C0093', 'Score': 0.7395993728582535}, {'CustomerID': 'C0156', 'Score': 0.7256509273791301}, {'CustomerID': 'C0062', 'Score': 0.7028087245386929}"
C0010,"{'CustomerID': 'C0058', 'Score': 0.799942007869817}, {'CustomerID': 'C0092', 'Score': 0.76419589514315}, {'CustomerID': 'C0040', 'Score': 0.7196276271068629}"
C0011,"{'CustomerID': 'C0094', 'Score': 0.7143739957219972}, {'CustomerID': 'C0084', 'Score': 0.6773693524719187}, {'CustomerID': 'C0063', 'Score': 0.6725137474828938}"
C0012,"{'CustomerID': 'C0136', 'Score': 0.8732888837283143}, {'CustomerID': 'C0076', 'Score': 0.8136634085847113}, {'CustomerID': 'C0059', 'Score': 0.7544848964519844}"
C0013,"{'CustomerID': 'C0040', 'Score': 0.7919553665854414}, {'CustomerID': 'C0105', 'Score': 0.77028947604886}, {'CustomerID': 'C0102', 'Score': 0.7623406009244473}"
C0014,"{'CustomerID': 'C0128', 'Score': 0.9675058557057117}, {'CustomerID': 'C0012', 'Score': 0.720580089823668}, {'CustomerID': 'C0005', 'Score': 0.7008596102211118}"
C0015,"{'CustomerID': 'C0073', 'Score': 0.7432825421679053}, {'CustomerID': 'C0060', 'Score': 0.7378250762432372}, {'CustomerID': 'C0182', 'Score': 0.6578473684602912}"
C0016,"{'CustomerID': 'C0184', 'Score': 0.8375745453624344}, {'CustomerID': 'C0192', 'Score': 0.7340821500654365}, {'CustomerID': 'C0102', 'Score': 0.7101613800483508}"
C0017,"{'CustomerID': 'C0164', 'Score': 0.7393517388582281}, {'CustomerID': 'C0041', 'Score': 0.6927965337405474}, {'CustomerID': 'C0104', 'Score': 0.6912305294118589}"
C0018,"{'CustomerID': 'C0114', 'Score': 0.7872779468403316}, {'CustomerID': 'C0161', 'Score': 0.7775682117297182}, {'CustomerID': 'C0039', 'Score': 0.7675581580617743}"
C0019,"{'CustomerID': 'C0070', 'Score': 0.8226974082102589}, {'CustomerID': 'C0191', 'Score': 0.8158568797711538}, {'CustomerID': 'C0171', 'Score': 0.789925639359077}"
C0020,"{'CustomerID': 'C0050', 'Score': 0.8086901017831041}, {'CustomerID': 'C0045', 'Score': 0.7577981552614234}, {'CustomerID': 'C0001', 'Score': 0.7195045973932241}"
